Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1uF,
C11,0402,1,0.1uF,
C12,0402,1,22uF,
C15,0402,1,0.1uF,
C16,0402,1,0.1uF 25V,
C17,0402,1,0.1uF 20V,
C18,0603,1,10uF 25V,
C19,0402,1,1uF,
C2,0402,1,(7pF),
C20,0402,1,0.1uF,
C21,0603,1,10uF 25V,
C22,0402,1,0.1uF 25V,
C23,0402,1,0.1uF,
C24,0402,1,0.1uF,
C25,0402,1,1uF,
C26,0402,1,22pF,
C27,0402,1,22nF,
C28,0805,1,22uF,
C29,0805,1,22uF,
C3,0402,1,(7pF),
C30,0805,1,22uF,
C31,0402,1,0.1uF,
C32,0402,1,0.1uF,
C33,0402,1,0.1uF,
C34,0402,1,0.1uF,
C35,0402,1,0.1uF,
C36,0402,1,0.1uF,
C37,0402,1,0.1uF,
C38,0402,1,0.1uF,
C4,0402,1,0.1uF,
C41,0402,1,0.1uF,
C5,0402,1,0.1uF,
C6,0402,1,0.1uF,
"D1, D2, D3, D4, D5, D6, D7, D8",SK6812D-EC3210R,8,SK6812SIDE-A,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J2,JST_SHL_SM14B-SHLS-TF_1x14-1MP_P1.00mm_Horizontal,1,Conn_01x14_Socket,
J3,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,Conn_ARM_SWD_TagConnect_TC2030-NL,
L5,L_Sunlord_SWPA3015S,1,10uH,
M1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,BLDC,
R1,0402,1,10k,
R10,0402,1,22K,
R11,0402,1,10K,
R13,0402,1,10K,
R14,0402,1,10K,
R2,0402,1,TBD,
R3,0402,1,10K,
R4,0402,1,10k,
R5,0402,1,0R,
R6,0402,1,10K,
R7,0402,1,1K,
R8,0402,1,10K,
R9,0402,1,100K,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U,
U2,PDRV8311HRRWR,1,PDRV8311HRRWR,
U3,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,MT6701,
U4,ESSOP-10_3.9x4.9mm_P1.00mm_EP2.3x3.2mm,1,CH224K,
U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSO,
U6,SOT-23-6,1,MT2492,
U7,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT30-DIS,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Crystal_Small,
